id,name,email,username,city,name_length,email_domain,user_category
1,Leanne Graham,sincere@april.biz,Bret,Gwenborough,13,april.biz,Long Name
2,Ervin Howell,shanna@melissa.tv,Antonette,Wisokyburgh,12,melissa.tv,Short Name
3,Clementine Bauch,nathan@yesenia.net,Samantha,McKenziehaven,16,yesenia.net,Long Name
4,Patricia Lebsack,julianne.oconner@kory.org,Karianne,South Elvis,16,kory.org,Long Name
5,Chelsey Dietrich,lucio_hettinger@annie.ca,Kamren,Roscoeview,16,annie.ca,Long Name
6,Mrs. Dennis Schulist,karley_dach@jasper.info,Leopoldo_Corkery,South Christy,20,jasper.info,Long Name
7,Kurtis Weissnat,telly.hoeger@billy.biz,Elwyn.Skiles,Howemouth,15,billy.biz,Long Name
8,Nicholas Runolfsdottir V,sherwood@rosamond.me,Maxime_Nienow,Aliyaview,24,rosamond.me,Long Name
9,Glenna Reichert,chaim_mcdermott@dana.io,Delphine,Bartholomebury,15,dana.io,Long Name
10,Clementina DuBuque,rey.padberg@karina.biz,Moriah.Stanton,Lebsackbury,18,karina.biz,Long Name
